date,time,canopy_height,master_sonic_height
01/01/2022,00:30,7.207749,2
01/01/2022,01:00,7.207864,2
01/01/2022,01:30,7.20798,2
01/01/2022,02:00,7.208096,2
01/01/2022,02:30,7.208211,2
01/01/2022,03:00,7.208327,2
01/01/2022,03:30,7.208443,2
01/01/2022,04:00,7.208558,2
01/01/2022,04:30,7.208674,2
01/01/2022,05:00,7.20879,2
01/01/2022,05:30,7.208905,2
01/01/2022,06:00,7.209021,2
01/01/2022,06:30,7.209136,2
01/01/2022,07:00,7.209252,2
01/01/2022,07:30,7.209368,2
01/01/2022,08:00,7.209483,2
01/01/2022,08:30,7.209599,2
01/01/2022,09:00,7.209715,2
01/01/2022,09:30,7.20983,2
01/01/2022,10:00,7.209946,2
01/01/2022,10:30,7.210062,2
01/01/2022,11:00,7.210177,2
01/01/2022,11:30,7.210293,2
01/01/2022,12:00,7.210409,2
01/01/2022,12:30,7.210524,2
01/01/2022,13:00,7.21064,2
01/01/2022,13:30,7.210756,2
01/01/2022,14:00,7.210871,2
01/01/2022,14:30,7.210987,2
01/01/2022,15:00,7.211103,2
01/01/2022,15:30,7.211218,2
01/01/2022,16:00,7.211334,2
01/01/2022,16:30,7.211449,2
01/01/2022,17:00,7.211565,2
01/01/2022,17:30,7.211681,2
01/01/2022,18:00,7.211796,2
01/01/2022,18:30,7.211912,2
01/01/2022,19:00,7.212028,2
01/01/2022,19:30,7.212143,2
01/01/2022,20:00,7.212259,2
01/01/2022,20:30,7.212375,2
01/01/2022,21:00,7.21249,2
01/01/2022,21:30,7.212606,2
01/01/2022,22:00,7.212722,2
01/01/2022,22:30,7.212837,2
01/01/2022,23:00,7.212953,2
01/01/2022,23:30,7.213069,2
01/01/2022,00:00,7.213184,2
02/01/2022,00:30,7.2133,2
02/01/2022,01:00,7.213416,2
02/01/2022,01:30,7.213531,2
02/01/2022,02:00,7.213647,2
02/01/2022,02:30,7.213763,2
02/01/2022,03:00,7.213878,2
02/01/2022,03:30,7.213994,2
02/01/2022,04:00,7.214109,2
02/01/2022,04:30,7.214225,2
02/01/2022,05:00,7.214341,2
02/01/2022,05:30,7.214456,2
02/01/2022,06:00,7.214572,2
02/01/2022,06:30,7.214688,2
02/01/2022,07:00,7.214803,2
02/01/2022,07:30,7.214919,2
02/01/2022,08:00,7.215035,2
02/01/2022,08:30,7.21515,2
02/01/2022,09:00,7.215266,2
02/01/2022,09:30,7.215382,2
02/01/2022,10:00,7.215497,2
02/01/2022,10:30,7.215613,2
02/01/2022,11:00,7.215729,2
02/01/2022,11:30,7.215844,2
02/01/2022,12:00,7.21596,2
02/01/2022,12:30,7.216076,2
02/01/2022,13:00,7.216191,2
02/01/2022,13:30,7.216307,2
02/01/2022,14:00,7.216423,2
02/01/2022,14:30,7.216538,2
02/01/2022,15:00,7.216654,2
02/01/2022,15:30,7.216769,2
02/01/2022,16:00,7.216885,2
02/01/2022,16:30,7.217001,2
02/01/2022,17:00,7.217116,2
02/01/2022,17:30,7.217232,2
02/01/2022,18:00,7.217348,2
02/01/2022,18:30,7.217463,2
02/01/2022,19:00,7.217579,2
02/01/2022,19:30,7.217695,2
02/01/2022,20:00,7.21781,2
02/01/2022,20:30,7.217926,2
02/01/2022,21:00,7.218042,2
02/01/2022,21:30,7.218157,2
02/01/2022,22:00,7.218273,2
02/01/2022,22:30,7.218389,2
02/01/2022,23:00,7.218504,2
02/01/2022,23:30,7.21862,2
02/01/2022,00:00,7.218736,2
03/01/2022,00:30,7.218851,2
03/01/2022,01:00,7.218967,2
03/01/2022,01:30,7.219082,2
03/01/2022,02:00,7.219198,2
03/01/2022,02:30,7.219314,2
03/01/2022,03:00,7.219429,2
03/01/2022,03:30,7.219545,2
03/01/2022,04:00,7.219661,2
03/01/2022,04:30,7.219776,2
03/01/2022,05:00,7.219892,2
03/01/2022,05:30,7.220008,2
03/01/2022,06:00,7.220123,2
03/01/2022,06:30,7.220239,2
03/01/2022,07:00,7.220355,2
