file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,co2_mean,flowrate_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--
FR-Gri_EC_202205130000_L05_F01.csv,2022-05-13,00:30,133.0208,0,36000,36000,-0.349431E-02,1,0.247237E-03,-5.32690,1,0.483859,-0.365691,1,0.166652,1.90323,1,0.163241,-0.822570E-02,1,0.374861E-02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.233238E-10,-0.500902E-12,-9999,-9999,17.6641,423.839,427.732,0.350000,0,379.355,9.10237,9.18598,0.800000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.920,287.091,99767.5,1.20653,1010.33,0.239935E-01,-0.533026E-03,0.683622E-02,905.739,1587.35,0.566602E-02,57.0598,681.613,278.695,-0.725726,0.272464,0.175588E-01,0.775386,-0.117433E-12,-0.132040E-14,0.775386,1.78652,267.294,159.422,1.29759,-9999,0.538160E-01,0.127665,2.54752,0.766668,14.5667,0.812010E-01,1,28.6803,13.0000,28.0000,60.0000,120.000,285.000,1497.00,-0.337129E-02,1.03649,-4.98882,1.07422,-0.258565,1.41431,1.34570,1.41431,-0.581606E-02,1.41431,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800111099,811110199,811110199,81000,81000,80,81,1,0,65,0,1,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.259551E-01,0.225368,0.400598E-02,0.991885E-01,10.1563,0.346633E-02,-9999,-9999,-0.409257E-02,0.325838E-01,-0.140826E-03,-9999,-9999,17.6102,0.213656E-03
FR-Gri_EC_202205130030_L05_F01.csv,2022-05-13,01:00,133.0416,0,36000,36000,-0.157068E-02,1,0.281604E-03,-1.26082,1,0.355930,-0.112836,1,0.130732,0.461400,1,0.134401,-0.253842E-02,1,0.294102E-02,-9999,-9999,-9999,-9999,-9999,-9999,0.181693,-0.245335,-0.888022E-01,-0.551917E-02,-9999,-9999,-0.398004E-10,-0.847429E-12,-9999,-9999,17.5767,421.930,425.755,0.350000,0,374.243,8.98373,9.06517,0.750000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,288.044,287.225,99767.5,1.20602,1010.27,0.240038E-01,-0.164490E-03,0.674422E-02,893.968,1601.24,0.559213E-02,55.8296,707.275,278.506,-0.740898,-0.161029,0.169240E-01,0.758384,-0.443788E-14,-0.226438E-14,0.758384,1.61979,235.747,192.262,1.27871,-9999,0.360883E-01,0.461496E-01,3.24561,0.601767,11.1739,0.286744E-01,1,49.2003,22.0000,49.0000,108.000,220.000,540.000,3058.00,-0.152289E-02,1.03138,-1.19344,1.06395,-0.831202E-01,1.35750,0.339888,1.35750,-0.186992E-02,1.35750,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,801111099,811110199,811110199,81000,81000,80,81,0,0,92,25,114,21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.558532E-01,0.346957E-01,0.175021E-02,0.660714E-01,11.8561,0.262841E-02,-9999,-9999,-0.979511E-03,0.823238E-02,-0.452909E-04,-9999,-9999,17.5425,0.213790E-03
FR-Gri_EC_202205130100_L05_F01.csv,2022-05-13,01:30,133.0624,0,36000,36000,-0.735325E-03,2,0.177861E-03,-1.79961,1,0.255390,-0.452893,1,0.157971,1.03678,1,0.972262E-01,-0.101828E-01,1,0.355180E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.797386,-0.281440,0.319571,-0.632786E-02,-9999,-9999,-0.447956E-10,-0.924358E-12,-9999,-9999,17.8893,428.785,432.613,0.350000,0,369.146,8.84799,8.92698,0.700000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.442,286.637,99767.5,1.20855,1010.18,0.239536E-01,-0.659843E-03,0.665622E-02,880.499,1541.22,0.550759E-02,57.1299,660.723,278.288,-0.859664,0.130741,0.142010E-01,0.869665,0.134010E-13,-0.250405E-14,0.869665,1.43016,258.665,171.353,0.935637,-9999,0.246664E-01,0.489278E-01,0.726064,2.68998,3.97360,0.597595E-01,1,167.985,74.0000,164.000,359.000,723.000,1735.00,9379.00,-0.676241E-03,1.08737,-1.55250,1.17284,-0.228982,1.97786,0.524192,1.97786,-0.514839E-02,1.97786,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800100199,811110199,811110199,81000,81000,80,81,0,0,24,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.519969E-01,0.448596E-01,0.999093E-03,0.788763E-01,11.2351,0.120900E-01,-9999,-9999,-0.127165E-02,0.126681E-01,-0.124421E-03,-9999,-9999,17.8378,0.213359E-03
FR-Gri_EC_202205130130_L05_F01.csv,2022-05-13,02:00,133.0833,0,36000,36000,-0.942655E-03,1,0.651978E-04,-0.529534,1,0.607667E-01,-0.301116,1,0.124637,0.181535,1,0.390169E-01,-0.676987E-02,1,0.280216E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.777261E-01,0.198595,-0.384832E-03,0.446493E-02,-9999,-9999,0.127067E-11,0.265046E-13,-9999,-9999,17.9002,428.777,432.647,0.500000,0,373.376,8.94375,9.02446,1.05000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.394,286.580,99767.5,1.20875,1010.23,0.239496E-01,-0.438687E-03,0.672940E-02,890.001,1535.47,0.556723E-02,57.9626,645.473,278.442,-0.545286,0.627031E-01,0.187162E-01,0.549198,0.206334E-12,0.709864E-16,0.549198,0.965388,255.716,173.440,1.95297,-9999,0.279259E-01,0.341388E-01,3.58072,0.545449,1.75857,0.155284E-01,1,43.5300,19.0000,43.0000,95.0000,193.000,470.000,2633.00,-0.914901E-03,1.03034,-0.513929,1.06129,-0.225346,1.33624,0.135855,1.33624,-0.506636E-02,1.33624,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800110099,811110199,811110199,81000,81000,80,81,0,0,66,2,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.690787E-02,0.608846E-01,0.485024E-03,0.895035E-02,5.45797,0.734706E-02,-9999,-9999,-0.420866E-03,0.328296E-02,-0.122429E-03,-9999,-9999,17.8487,0.213402E-03
FR-Gri_EC_202205130200_L05_F01.csv,2022-05-13,02:30,133.1041,0,36000,36000,-0.189837E-02,1,0.519927E-04,-0.760922,1,0.154433,0.597110,1,0.196848,-0.310407,2,0.155629,0.134232E-01,1,0.442519E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.149391,-0.287588,-0.108505,-0.646504E-02,-9999,-9999,0.143000E-10,0.295260E-12,-9999,-9999,17.8198,426.451,430.239,0.400000,1,367.934,8.80515,8.88337,0.700000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.271,286.470,99767.5,1.20928,1010.16,0.239393E-01,0.869821E-03,0.662796E-02,876.248,1524.50,0.548091E-02,57.4777,648.252,278.219,-0.679405,-0.705072E-01,0.175210E-01,0.683278,-0.109929E-12,0.802479E-15,0.683278,1.73656,242.384,185.925,1.46937,-9999,0.396212E-01,0.524030E-01,7.11659,0.274443,-1.27434,0.157216E-01,1,31.3343,14.0000,30.0000,66.0000,131.000,311.000,1624.00,-0.186075E-02,1.02022,-0.703947,1.04078,0.485891,1.22890,-0.252590,1.22890,0.109229E-01,1.22890,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800111099,811111199,811110199,811110199,80100,80100,80,81,2,0,51,20,23,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.173172E-01,0.861350E-01,0.135382E-02,0.310583E-01,13.2760,0.645984E-02,-9999,-9999,-0.576269E-03,-0.610040E-02,0.263804E-03,-9999,-9999,17.7680,0.212736E-03
FR-Gri_EC_202205130230_L05_F01.csv,2022-05-13,03:00,133.1249,0,36000,36000,0.957144E-03,1,0.127049E-03,0.146454,1,0.154301,0.323100,1,0.287432,-0.351250,1,0.205352,0.726211E-02,1,0.646043E-02,-9999,-9999,-9999,-9999,-9999,-9999,-0.241048,-0.396944,0.138600,-0.892186E-02,-9999,-9999,0.270569E-11,0.542751E-13,-9999,-9999,17.9596,429.420,433.151,0.400000,1,360.263,8.61401,8.68886,0.700000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.075,286.292,99767.5,1.21012,1010.05,0.239230E-01,0.470585E-03,0.648849E-02,857.279,1506.95,0.536187E-02,56.8885,649.668,277.905,-0.735923,-0.211007,0.156247E-01,0.765736,-0.924938E-13,0.150654E-15,0.765736,1.38233,233.861,195.999,1.16919,-9999,0.281239E-01,0.443274E-01,-13.2233,-0.147702,0.453278,-0.426047E-02,1,55.5542,24.0000,44.0000,76.0000,118.000,196.000,480.000,0.943336E-03,1.01464,0.161357,1.02145,0.292796,1.10350,-0.318306,1.10350,0.658099E-02,1.10350,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800001099,800111099,811110199,811110199,80100,80100,80,81,0,0,31,13,2,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.991195E-02,0.776824E-01,0.106054E-02,0.184293E-01,12.4543,0.117189E-01,-9999,-9999,0.132013E-03,-0.768084E-02,0.158802E-03,-9999,-9999,17.9100,0.212684E-03
FR-Gri_EC_202205130300_L05_F01.csv,2022-05-13,03:30,133.1458,0,36000,36000,-0.138917E-02,1,0.203964E-03,1.60802,2,0.333570,-3.93521,1,0.692109,-3.98447,1,0.661456,-0.884451E-01,1,0.155554E-01,-9999,-9999,-9999,-9999,-9999,-9999,-0.688858E-01,-0.227628,0.110913,-0.511600E-02,-9999,-9999,0.251559E-10,0.495459E-12,-9999,-9999,18.0546,431.796,435.500,0.400000,1,355.594,8.50443,8.57738,0.600000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,287.014,286.242,99767.5,1.21038,1009.99,0.239180E-01,-0.573124E-02,0.640731E-02,846.402,1501.97,0.529363E-02,56.3530,655.564,277.722,-0.438460,-0.619885,0.734263E-02,0.759314,0.877886E-14,0.139333E-14,0.759314,1.22263,196.539,234.727,0.554063,-9999,0.338779E-01,0.347498E-01,-2.10506,-0.927811,-0.408622,-0.388272E-01,1,27.8943,12.0000,22.0000,36.0000,53.0000,83.0000,181.000,-0.136904E-02,1.01470,1.36435,1.02149,-3.56616,1.10349,-3.61080,1.10349,-0.801505E-01,1.10349,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800101099,811110199,811110199,80000,80000,80,81,0,0,22,0,105,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.189758E-01,0.497236E-01,0.800165E-03,0.488287E-01,141.622,0.790927E-01,-9999,-9999,0.111606E-02,-0.871019E-01,-0.193344E-02,-9999,-9999,18.0284,0.213050E-03
FR-Gri_EC_202205130330_L05_F01.csv,2022-05-13,04:00,133.1666,0,36000,36000,-0.533634E-02,1,0.688765E-03,8.90551,2,2.02193,3.33140,1,0.656339,-1.46105,2,0.509250,0.747941E-01,1,0.147357E-01,-9999,-9999,-9999,-9999,-9999,-9999,-1.51819,0.590490,1.13416,0.132573E-01,-9999,-9999,0.420011E-10,0.809386E-12,-9999,-9999,19.1077,455.996,460.039,0.400000,1,368.217,8.78731,8.86522,0.700000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,285.924,285.128,99767.5,1.21498,1010.12,0.238271E-01,0.484666E-02,0.664569E-02,874.477,1396.10,0.546980E-02,62.6373,521.620,278.190,-0.329782,0.235165,0.749176E-02,0.405111,0.304949E-12,0.219812E-14,0.405111,1.39322,268.114,144.508,1.05964,-9999,0.662731E-01,0.206785,-2.84558,-0.686362,2.67321,-0.109491,1,5.64513,3.00000,4.00000,7.00000,11.0000,19.0000,43.0000,-0.522355E-02,1.02159,8.88631,1.02573,3.01120,1.10633,-1.32062,1.10633,0.676053E-01,1.10633,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800110099,811110199,811110199,80100,80100,80,81,0,0,25,0,45,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.112440,0.300062,0.106781E-02,0.835960,58.5782,0.386739E-01,-9999,-9999,0.724070E-02,-0.317448E-01,0.162508E-02,-9999,-9999,19.0725,0.212894E-03
FR-Gri_EC_202205130400_L05_F01.csv,2022-05-13,04:30,133.1874,0,36000,36000,-0.387089E-02,1,0.610834E-03,-3.87712,1,0.898812,-2.67520,1,0.512264,5.96928,1,1.05605,-0.600106E-01,1,0.114912E-01,-9999,-9999,-9999,-9999,-9999,-9999,-1.21389,-0.794526,0.607213,-0.178230E-01,-9999,-9999,0.113128E-09,0.202855E-11,-9999,-9999,19.7429,468.911,472.887,0.400000,0,354.018,8.40824,8.47954,0.700000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,284.999,284.241,99767.5,1.21895,1009.89,0.237501E-01,-0.388869E-02,0.637962E-02,836.855,1316.49,0.523373E-02,63.5671,479.636,277.560,-0.223435,-0.373743,0.110026E-01,0.435579,0.121320E-12,0.573006E-14,0.435579,1.78537,180.965,239.128,1.44743,-9999,0.563526E-01,0.932302E-01,4.01803,0.486084,1.44928,0.558903E-01,1,9.28660,4.00000,9.00000,19.0000,36.0000,82.0000,389.000,-0.376182E-02,1.02900,-3.79575,1.05793,-2.03585,1.31405,4.54267,1.31405,-0.456685E-01,1.31405,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,810110199,811110199,811110199,81000,81000,80,81,0,0,69,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.689140E-01,0.116741,0.805285E-03,0.166570,182.229,0.195927E-01,-9999,-9999,-0.308345E-02,0.108801,-0.109381E-02,-9999,-9999,19.6930,0.211992E-03
