file_info,,,,stationarity test,,,,,,,,,,,,,well-developed_turbulence_test,,,,,
filename,date,time,DOY,dev(u),dev(w),dev(ts),dev(co2),dev(h2o),dev(w/u),dev(w/ts),dev(w/co2),dev(w/h2o),flag(w/u),flag(w/ts),flag(w/co2),flag(w/h2o),dev(u),dev(w),dev(ts),flag(u),flag(w),flag(ts)
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[%],[%],[%],[%],[%],[%],[%],[%],[%],[#],[#],[#],[#],[%],[%],[%],[#],[#],[#]
FR-Gri_EC_202205130000_L05_F01.csv,2022-05-13,00:30,133.0208,31,0,32,29,79,3,3,3,27,1,1,1,2,16,34,159,3,3,6
FR-Gri_EC_202205130030_L05_F01.csv,2022-05-13,01:00,133.0416,81,0,24,31,63,3,26,15,66,1,2,1,4,74,38,463,4,3,7
FR-Gri_EC_202205130100_L05_F01.csv,2022-05-13,01:30,133.0624,83,0,63,42,88,3,29,25,59,1,2,2,4,136,34,329,6,3,7
FR-Gri_EC_202205130130_L05_F01.csv,2022-05-13,02:00,133.0833,62,2,10,43,82,25,1,3,31,2,1,1,3,22,59,273,4,4,7
FR-Gri_EC_202205130200_L05_F01.csv,2022-05-13,02:30,133.1041,52,2,35,61,62,10,27,180,58,1,2,6,4,10,50,479,3,3,7
FR-Gri_EC_202205130230_L05_F01.csv,2022-05-13,03:00,133.1249,54,1,27,69,69,17,52,30,30,2,4,2,2,8,40,1875,3,3,9
FR-Gri_EC_202205130300_L05_F01.csv,2022-05-13,03:30,133.1458,63,5,67,84,91,41,101,77,85,3,6,5,5,1,54,458,4,4,7
FR-Gri_EC_202205130330_L05_F01.csv,2022-05-13,04:00,133.1666,83,11,91,40,85,66,101,124,95,4,6,6,5,27,71,660,4,4,8
FR-Gri_EC_202205130400_L05_F01.csv,2022-05-13,04:30,133.1874,69,17,65,73,74,73,95,82,97,4,5,5,5,31,71,335,4,4,7
FR-Gri_EC_202205130430_L05_F01.csv,2022-05-13,05:00,133.2083,27,0,6,59,79,2,2,0,33,1,1,1,3,1,19,56,2,2,4
FR-Gri_EC_202205130500_L05_F01.csv,2022-05-13,05:30,133.2291,91,13,12,88,67,72,37,108,85,4,3,6,5,47,68,554,4,4,8
FR-Gri_EC_202205130530_L05_F01.csv,2022-05-13,06:00,133.2499,46,16,44,42,74,46,52,54,57,3,4,4,4,39,48,309,3,3,7
FR-Gri_EC_202205130600_L05_F01.csv,2022-05-13,06:30,133.2707,57,0,60,83,80,6,14,101,84,1,1,6,5,31,31,368,3,3,7
FR-Gri_EC_202205130630_L05_F01.csv,2022-05-13,07:00,133.2916,87,4,62,77,93,41,558871,68,150,3,9,4,6,89,38,7532,5,3,9
FR-Gri_EC_202205130700_L05_F01.csv,2022-05-13,07:30,133.3124,73,3,91,94,93,34,78,80,72,3,5,5,4,112,4,186,6,1,6
FR-Gri_EC_202205130730_L05_F01.csv,2022-05-13,08:00,133.3332,21,0,78,84,60,2,13,9,13,1,1,1,1,21,22,160,2,2,6
FR-Gri_EC_202205130800_L05_F01.csv,2022-05-13,08:30,133.3541,11,1,38,9,38,2,11,5,10,1,1,1,1,19,5,52,2,1,4
FR-Gri_EC_202205130830_L05_F01.csv,2022-05-13,09:00,133.3749,8,0,17,45,23,2,0,0,1,1,1,1,1,17,6,12,2,1,1
FR-Gri_EC_202205130900_L05_F01.csv,2022-05-13,09:30,133.3957,15,1,18,24,20,1,1,5,3,1,1,1,1,15,9,21,1,1,2
FR-Gri_EC_202205130930_L05_F01.csv,2022-05-13,10:00,133.4165,15,0,5,5,53,3,1,2,16,1,1,1,2,26,1,12,2,1,1
FR-Gri_EC_202205131000_L05_F01.csv,2022-05-13,10:30,133.4374,24,4,9,9,17,9,4,8,10,1,1,1,1,29,3,2,2,1,1
FR-Gri_EC_202205131030_L05_F01.csv,2022-05-13,11:00,133.4582,40,0,12,6,24,25,0,2,2,2,1,1,1,35,3,5,3,1,1
FR-Gri_EC_202205131100_L05_F01.csv,2022-05-13,11:30,133.4790,13,0,2,4,4,0,1,0,1,1,1,1,1,24,18,16,2,2,2
FR-Gri_EC_202205131130_L05_F01.csv,2022-05-13,12:00,133.4999,30,1,7,3,13,2,0,2,8,1,1,1,1,49,10,2,3,1,1
FR-Gri_EC_202205131200_L05_F01.csv,2022-05-13,12:30,133.5207,6,0,5,4,2,0,2,2,2,1,1,1,1,0,9,9,1,1,1
FR-Gri_EC_202205131230_L05_F01.csv,2022-05-13,13:00,133.5415,43,1,7,9,12,28,3,5,6,2,1,1,1,62,2,3,4,1,1
FR-Gri_EC_202205131300_L05_F01.csv,2022-05-13,13:30,133.5624,24,2,16,13,14,46,10,10,10,3,1,1,1,33,0,2,3,1,1
FR-Gri_EC_202205131330_L05_F01.csv,2022-05-13,14:00,133.5832,21,0,8,1,2,9,4,1,2,1,1,1,1,15,5,9,1,1,1
FR-Gri_EC_202205131400_L05_F01.csv,2022-05-13,14:30,133.6040,25,0,3,3,8,0,1,0,1,1,1,1,1,28,0,5,2,1,1
FR-Gri_EC_202205131430_L05_F01.csv,2022-05-13,15:00,133.6249,29,0,4,3,6,12,0,1,3,1,1,1,1,84,28,4,5,2,1
FR-Gri_EC_202205131500_L05_F01.csv,2022-05-13,15:30,133.6457,37,1,9,4,9,105,5,1,0,6,1,1,1,199,38,4,6,3,1
FR-Gri_EC_202205131530_L05_F01.csv,2022-05-13,16:00,133.6665,35,0,8,6,11,2,2,3,4,1,1,1,1,34,2,6,3,1,1
FR-Gri_EC_202205131600_L05_F01.csv,2022-05-13,16:30,133.6873,14,1,1,4,8,6,1,4,6,1,1,1,1,25,17,14,2,2,1
FR-Gri_EC_202205131630_L05_F01.csv,2022-05-13,17:00,133.7082,21,1,4,4,5,6,3,3,4,1,1,1,1,49,21,24,3,2,2
FR-Gri_EC_202205131700_L05_F01.csv,2022-05-13,17:30,133.7290,24,0,19,6,10,1,5,3,4,1,1,1,1,17,12,22,2,1,2
FR-Gri_EC_202205131730_L05_F01.csv,2022-05-13,18:00,133.7498,32,0,18,8,14,0,4,3,5,1,1,1,1,16,14,29,2,1,2
FR-Gri_EC_202205131800_L05_F01.csv,2022-05-13,18:30,133.7707,22,1,11,7,8,2,8,3,6,1,1,1,1,25,13,47,2,1,3
FR-Gri_EC_202205131830_L05_F01.csv,2022-05-13,19:00,133.7915,28,0,44,10,12,1,19,0,2,1,2,1,1,1,24,509,2,2,8
FR-Gri_EC_202205131900_L05_F01.csv,2022-05-13,19:30,133.8123,2,0,33,11,8,0,3,3,0,1,1,1,1,16,23,16,2,2,2
FR-Gri_EC_202205131930_L05_F01.csv,2022-05-13,20:00,133.8332,27,0,35,48,53,4,5,12,14,1,1,1,1,4,21,23,2,2,2
FR-Gri_EC_202205132000_L05_F01.csv,2022-05-13,20:30,133.8540,4,0,15,91,29,2,4,249,13,1,1,6,1,18,28,66,2,2,4
FR-Gri_EC_202205132030_L05_F01.csv,2022-05-13,21:00,133.8748,53,2,19,57,48,19,14,39,51,2,1,3,4,1,44,218,3,3,6
FR-Gri_EC_202205132100_L05_F01.csv,2022-05-13,21:30,133.8956,40,2,31,29,73,14,21,26,60,1,2,2,4,28,42,243,3,3,6
FR-Gri_EC_202205132130_L05_F01.csv,2022-05-13,22:00,133.9165,57,1,27,8,91,5,712,75,22,1,8,4,2,60,16,5909,4,2,9
FR-Gri_EC_202205132200_L05_F01.csv,2022-05-13,22:30,133.9373,61,15,52,52,91,59,3433,183,101,4,9,6,6,24,75,3040,4,4,9
FR-Gri_EC_202205132230_L05_F01.csv,2022-05-13,23:00,133.9581,53,2,49,64,81,7,350,168,101,1,7,6,6,49,33,2455,3,3,9
FR-Gri_EC_202205132300_L05_F01.csv,2022-05-13,23:30,133.9790,40,0,14,19,57,7,1,7,6,1,1,1,1,0,27,44,2,2,3
FR-Gri_EC_202205132330_L05_F01.csv,2022-05-14,00:00,134.0000,29,0,11,25,28,4,5,7,1,1,1,1,1,9,27,64,2,2,4
FR-Gri_EC_202205140000_L05_F01.csv,2022-05-14,00:30,134.0208,27,0,3,26,68,1,1,3,0,1,1,1,1,4,15,35,1,1,3
FR-Gri_EC_202205140030_L05_F01.csv,2022-05-14,01:00,134.0416,20,3,24,27,54,25,71,76,77,2,4,5,5,44,46,367,3,3,7
FR-Gri_EC_202205140100_L05_F01.csv,2022-05-14,01:30,134.0624,59,20,62,46,29,56,120,42,71,4,6,3,4,23,73,760,4,4,8
FR-Gri_EC_202205140130_L05_F01.csv,2022-05-14,02:00,134.0833,70,4,37,44,47,33,6,56,72,3,1,4,4,42,46,199,3,3,6
FR-Gri_EC_202205140200_L05_F01.csv,2022-05-14,02:30,134.1041,73,22,39,67,63,53,301,100,144,4,7,5,6,1,76,2087,5,5,9
FR-Gri_EC_202205140230_L05_F01.csv,2022-05-14,03:00,134.1249,85,13,58,70,79,58,91,85,91,4,5,5,5,79,75,425,5,4,7
FR-Gri_EC_202205140300_L05_F01.csv,2022-05-14,03:30,134.1458,40,10,16,20,24,19,40,46,56,2,3,3,4,7,46,148,3,3,6
FR-Gri_EC_202205140330_L05_F01.csv,2022-05-14,04:00,134.1666,82,8,73,83,88,26,43,67,99,2,3,4,5,46,37,157,3,3,6
FR-Gri_EC_202205140400_L05_F01.csv,2022-05-14,04:30,134.1874,79,20,67,57,80,68,75,68,90,4,4,4,5,32,76,245,5,5,6
FR-Gri_EC_202205140430_L05_F01.csv,2022-05-14,05:00,134.2083,73,25,92,91,94,78,92,116,119,5,5,6,6,33,75,1228,4,4,9
FR-Gri_EC_202205140500_L05_F01.csv,2022-05-14,05:30,134.2291,66,52,94,89,93,38,94,94,92,3,5,5,5,39,76,587,5,5,8
FR-Gri_EC_202205140530_L05_F01.csv,2022-05-14,06:00,134.2499,90,53,96,95,96,79,95,94,94,5,5,5,5,62,84,282,5,5,7
FR-Gri_EC_202205140600_L05_F01.csv,2022-05-14,06:30,134.2707,84,28,63,78,61,70,88,91,96,4,5,5,5,18,76,196,5,5,6
FR-Gri_EC_202205140630_L05_F01.csv,2022-05-14,07:00,134.2916,77,26,77,19,83,68,109,20,2,4,6,2,1,25,69,234,4,4,6
FR-Gri_EC_202205140700_L05_F01.csv,2022-05-14,07:30,134.3124,73,7,79,53,83,29,19,26,19,2,2,2,2,30,34,144,3,3,6
