wavelet_based_(co)spectra
--------------------------------------------------------------
TIMESTAMP_START = 2022-05-14 11:00:00
TIMESTAMP_END = 2022-05-14 11:29:59.950000
N: 36000
TIME_BUFFER [min] = 495.0
frequency [Hz]
y-axis_->_wavelet_coefficient_*_
mother_wavelet -> dwt
acquisition_frequency [Hz] = 20.0
averaging_interval [Min] = 30
variable,natural_frequency,value
co2D_var,,25.717237149485364
co2D_var_qc,,0.9997777777777778
co2T_var,,161436.7900493126
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,23.23936610751832
co2_var_qc,,0.9997777777777778
h2oD_var,,0.3832732750217218
h2oD_var_qc,,0.9996944444444444
h2oT_var,,111.89093854088463
h2oT_var_qc,,0.9996944444444444
h2o_nfb,,
h2o_var,,0.3837034694944482
h2o_var_qc,,0.9996944444444444
w/co2D_cov,,-0.5573682116968641
w/co2D_cov_qc,,0.00022222222222222223
w/co2T_cov,,-0.005343890195061919
w/co2T_cov_qc,,0.00022222222222222223
w/co2_cov,,-0.5627829440053422
w/co2_cov_qc,,0.00022222222222222223
wD/co2D_cov,,-0.5629688053936519
wD/co2D_cov_qc,,0.00022222222222222223
wD/co2_cov,,-0.5728076764807439
wD/co2_cov_qc,,0.00022222222222222223
wD_var,,0.07685797200900607
wD_var_qc,,1.0
wT/co2T_cov,,-0.42935771538435646
wT/co2T_cov_qc,,0.00022222222222222223
wT/co2_cov,,0.010024732475401607
wT/co2_cov_qc,,0.00022222222222222223
wT_var,,6.150994309308244e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.07645123143848179
w_var_qc,,1.0
wco2,,-0.5280920080339176
wco2+wh2o+,,0.014261717694182769
wco2+wh2o+,10.0,0.0009727008527510989
wco2+wh2o+,0.01953125,0.00030412962090777207
wco2+wh2o+,0.009765625,0.0007431318118823854
wco2+wh2o+,0.0048828125,0.00012530942045672926
wco2+wh2o+,0.00244140625,0.00019546634863204794
wco2+wh2o+,0.001220703125,0.0015197455608272118
wco2+wh2o+,0.0006103515625,0.00039336346221771824
wco2+wh2o+,0.00030517578125,0.0
wco2+wh2o+,0.000152587890625,1.0204358976610744e-06
wco2+wh2o+,7.62939453125e-05,0.0
wco2+wh2o+,3.814697265625e-05,0.0
wco2+wh2o+,5.0,0.002843228455066121
wco2+wh2o+,2.5,0.0017508895994605626
wco2+wh2o+,1.25,0.00044635189757805203
wco2+wh2o+,0.625,0.0007180113067152965
wco2+wh2o+,0.3125,0.0016264471734862651
wco2+wh2o+,0.15625,0.0013881096627421715
wco2+wh2o+,0.078125,0.0009747681965290848
wco2+wh2o+,0.0390625,0.0002600643249302505
wco2+wh2o+_qc,,0.00022222222222222223
wco2+wh2o-,,0.10542368219370835
wco2+wh2o-,10.0,0.0007724668712416424
wco2+wh2o-,0.01953125,0.004787959369245858
wco2+wh2o-,0.009765625,0.00494574539703873
wco2+wh2o-,0.0048828125,0.000998080895910798
wco2+wh2o-,0.00244140625,0.0007536614433351234
wco2+wh2o-,0.001220703125,0.00012006719387218504
wco2+wh2o-,0.0006103515625,0.002062966549871573
wco2+wh2o-,0.00030517578125,0.006591770073392828
wco2+wh2o-,0.000152587890625,3.5646267391936354e-07
wco2+wh2o-,7.62939453125e-05,0.0
wco2+wh2o-,3.814697265625e-05,0.0
wco2+wh2o-,5.0,0.0015433546120731817
wco2+wh2o-,2.5,0.008347463897131898
wco2+wh2o-,1.25,0.014709426779616324
wco2+wh2o-,0.625,0.01474256075769031
wco2+wh2o-,0.3125,0.016228657539139737
wco2+wh2o-,0.15625,0.01608069792231251
wco2+wh2o-,0.078125,0.015352702036672676
wco2+wh2o-,0.0390625,0.003977870928555802
wco2+wh2o-_qc,,0.00022222222222222223
wco2+wh2o·,,0.0
wco2+wh2o·,10.0,0.0
wco2+wh2o·,0.01953125,0.0
wco2+wh2o·,0.009765625,0.0
wco2+wh2o·,0.0048828125,0.0
wco2+wh2o·,0.00244140625,0.0
wco2+wh2o·,0.001220703125,0.0
wco2+wh2o·,0.0006103515625,0.0
wco2+wh2o·,0.00030517578125,0.0
wco2+wh2o·,0.000152587890625,0.0
wco2+wh2o·,7.62939453125e-05,0.0
wco2+wh2o·,3.814697265625e-05,0.0
wco2+wh2o·,5.0,0.0
wco2+wh2o·,2.5,0.0
wco2+wh2o·,1.25,0.0
wco2+wh2o·,0.625,0.0
wco2+wh2o·,0.3125,0.0
wco2+wh2o·,0.15625,0.0
wco2+wh2o·,0.078125,0.0
wco2+wh2o·,0.0390625,0.0
wco2+wh2o·_qc,,0.00022222222222222223
wco2-wh2o+,,-0.6311433550337732
wco2-wh2o+,10.0,-0.0007322556804365757
wco2-wh2o+,0.01953125,-0.04524706365671811
wco2-wh2o+,0.009765625,-0.04900397410743124
wco2-wh2o+,0.0048828125,-0.03594657548734502
wco2-wh2o+,0.00244140625,-0.020433435311807885
wco2-wh2o+,0.001220703125,-0.002792997374277146
wco2-wh2o+,0.0006103515625,-8.366043014873125e-05
wco2-wh2o+,0.00030517578125,-0.00578738286664577
wco2-wh2o+,0.000152587890625,0.0
wco2-wh2o+,7.62939453125e-05,-0.000945158490174291
wco2-wh2o+,3.814697265625e-05,0.0
wco2-wh2o+,5.0,-0.0015388570741252518
wco2-wh2o+,2.5,-0.007529081569277044
wco2-wh2o+,1.25,-0.019836206470394087
wco2-wh2o+,0.625,-0.04144152108178983
wco2-wh2o+,0.3125,-0.05379787465686512
wco2-wh2o+,0.15625,-0.09938630519693524
wco2-wh2o+,0.078125,-0.12224418499992196
wco2-wh2o+,0.0390625,-0.13112936193629984
wco2-wh2o+_qc,,0.00022222222222222223
wco2-wh2o-,,-0.016634052888035697
wco2-wh2o-,10.0,-0.0008483981393902364
wco2-wh2o-,0.01953125,-0.0004263254533826216
wco2-wh2o-,0.009765625,-0.00047425179432948443
wco2-wh2o-,0.0048828125,-6.889149056901291e-06
wco2-wh2o-,0.00244140625,-0.0026310319294183438
wco2-wh2o-,0.001220703125,-0.001054126093385862
wco2-wh2o-,0.0006103515625,-4.2505224685501216e-05
wco2-wh2o-,0.00030517578125,0.0
wco2-wh2o-,0.000152587890625,-0.00015621023364825563
wco2-wh2o-,7.62939453125e-05,-0.0014402244209502978
wco2-wh2o-,3.814697265625e-05,-0.0664255030130651
wco2-wh2o-,5.0,-0.0026874725382102244
wco2-wh2o-,2.5,-0.0014811622039671024
wco2-wh2o-,1.25,-0.0005563611154036453
wco2-wh2o-,0.625,-0.0008408091344855696
wco2-wh2o-,0.3125,-0.0016712161847974593
wco2-wh2o-,0.15625,-0.0023067245910440644
wco2-wh2o-,0.078125,-0.001092475566560375
wco2-wh2o-,0.0390625,-0.0005143037699183065
wco2-wh2o-_qc,,0.00022222222222222223
wco2-wh2o·,,0.0
wco2-wh2o·,10.0,0.0
wco2-wh2o·,0.01953125,0.0
wco2-wh2o·,0.009765625,0.0
wco2-wh2o·,0.0048828125,0.0
wco2-wh2o·,0.00244140625,0.0
wco2-wh2o·,0.001220703125,0.0
wco2-wh2o·,0.0006103515625,0.0
wco2-wh2o·,0.00030517578125,0.0
wco2-wh2o·,0.000152587890625,0.0
wco2-wh2o·,7.62939453125e-05,0.0
wco2-wh2o·,3.814697265625e-05,0.0
wco2-wh2o·,5.0,0.0
wco2-wh2o·,2.5,0.0
wco2-wh2o·,1.25,0.0
wco2-wh2o·,0.625,0.0
wco2-wh2o·,0.3125,0.0
wco2-wh2o·,0.15625,0.0
wco2-wh2o·,0.078125,0.0
wco2-wh2o·,0.0390625,0.0
wco2-wh2o·_qc,,0.00022222222222222223
wco2,10.0,0.00016451390416592898
wco2,0.01953125,-0.0405813001199471
wco2,0.009765625,-0.04378934869283961
wco2,0.0048828125,-0.0348300743200344
wco2,0.00244140625,-0.022115339449259058
wco2,0.001220703125,-0.002207310712963611
wco2,0.0006103515625,0.0023301643572550585
wco2,0.00030517578125,0.0008043872067470583
wco2,0.000152587890625,-0.0001548333350766752
wco2,7.62939453125e-05,-0.0023853829111245887
wco2,3.814697265625e-05,-0.0664255030130651
wco2,5.0,0.00016025345480382645
wco2,2.5,0.0010881097233483136
wco2,1.25,-0.005236788908603358
wco2,0.625,-0.02682175815186979
wco2,0.3125,-0.037613986129036575
wco2,0.15625,-0.08422422220292464
wco2,0.078125,-0.10700919033328056
wco2,0.0390625,-0.12740573045273212
wco2_qc,,0.00022222222222222223
wco2·,,0.0
wco2·,10.0,0.0
wco2·,0.01953125,0.0
wco2·,0.009765625,0.0
wco2·,0.0048828125,0.0
wco2·,0.00244140625,0.0
wco2·,0.001220703125,0.0
wco2·,0.0006103515625,0.0
wco2·,0.00030517578125,0.0
wco2·,0.000152587890625,0.0
wco2·,7.62939453125e-05,0.0
wco2·,3.814697265625e-05,0.0
wco2·,5.0,0.0
wco2·,2.5,0.0
wco2·,1.25,0.0
wco2·,0.625,0.0
wco2·,0.3125,0.0
wco2·,0.15625,0.0
wco2·,0.078125,0.0
wco2·,0.0390625,0.0
wco2·_qc,,0.00022222222222222223
wco2·wh2o+,,0.0
wco2·wh2o+,10.0,0.0
wco2·wh2o+,0.01953125,0.0
wco2·wh2o+,0.009765625,0.0
wco2·wh2o+,0.0048828125,0.0
wco2·wh2o+,0.00244140625,0.0
wco2·wh2o+,0.001220703125,0.0
wco2·wh2o+,0.0006103515625,0.0
wco2·wh2o+,0.00030517578125,0.0
wco2·wh2o+,0.000152587890625,0.0
wco2·wh2o+,7.62939453125e-05,0.0
wco2·wh2o+,3.814697265625e-05,0.0
wco2·wh2o+,5.0,0.0
wco2·wh2o+,2.5,0.0
wco2·wh2o+,1.25,0.0
wco2·wh2o+,0.625,0.0
wco2·wh2o+,0.3125,0.0
wco2·wh2o+,0.15625,0.0
wco2·wh2o+,0.078125,0.0
wco2·wh2o+,0.0390625,0.0
wco2·wh2o+_qc,,0.00022222222222222223
wco2·wh2o-,,0.0
wco2·wh2o-,10.0,0.0
wco2·wh2o-,0.01953125,0.0
wco2·wh2o-,0.009765625,0.0
wco2·wh2o-,0.0048828125,0.0
wco2·wh2o-,0.00244140625,0.0
wco2·wh2o-,0.001220703125,0.0
wco2·wh2o-,0.0006103515625,0.0
wco2·wh2o-,0.00030517578125,0.0
wco2·wh2o-,0.000152587890625,0.0
wco2·wh2o-,7.62939453125e-05,0.0
wco2·wh2o-,3.814697265625e-05,0.0
wco2·wh2o-,5.0,0.0
wco2·wh2o-,2.5,0.0
wco2·wh2o-,1.25,0.0
wco2·wh2o-,0.625,0.0
wco2·wh2o-,0.3125,0.0
wco2·wh2o-,0.15625,0.0
wco2·wh2o-,0.078125,0.0
wco2·wh2o-,0.0390625,0.0
wco2·wh2o-_qc,,0.00022222222222222223
wco2·wh2o·,,0.0
wco2·wh2o·,10.0,0.0
wco2·wh2o·,0.01953125,0.0
wco2·wh2o·,0.009765625,0.0
wco2·wh2o·,0.0048828125,0.0
wco2·wh2o·,0.00244140625,0.0
wco2·wh2o·,0.001220703125,0.0
wco2·wh2o·,0.0006103515625,0.0
wco2·wh2o·,0.00030517578125,0.0
wco2·wh2o·,0.000152587890625,0.0
wco2·wh2o·,7.62939453125e-05,0.0
wco2·wh2o·,3.814697265625e-05,0.0
wco2·wh2o·,5.0,0.0
wco2·wh2o·,2.5,0.0
wco2·wh2o·,1.25,0.0
wco2·wh2o·,0.625,0.0
wco2·wh2o·,0.3125,0.0
wco2·wh2o·,0.15625,0.0
wco2·wh2o·,0.078125,0.0
wco2·wh2o·,0.0390625,0.0
wco2·wh2o·_qc,,0.00022222222222222223
co2D_var,,25.717237149485364
co2D_var_qc,,0.9997777777777778
co2T_var,,161436.7900493126
co2T_var_qc,,0.9997777777777778
co2_nfb,,
co2_var,,23.23936610751832
co2_var_qc,,0.9997777777777778
h2oD_var,,0.3832732750217218
h2oD_var_qc,,0.9996944444444444
h2oT_var,,111.89093854088463
h2oT_var_qc,,0.9996944444444444
h2o_nfb,,
h2o_var,,0.3837034694944482
h2o_var_qc,,0.9996944444444444
w/h2oD_cov,,0.07023574804854747
w/h2oD_cov_qc,,0.00030555555555555555
w/h2oT_cov,,-0.0007883848521178385
w/h2oT_cov_qc,,0.00030555555555555555
w/h2o_cov,,0.06945163562448345
w/h2o_cov_qc,,0.00030555555555555555
wD/h2oD_cov,,0.07011783349635635
wD/h2oD_cov_qc,,0.00030555555555555555
wD/h2o_cov,,0.06916627998213518
wD/h2o_cov_qc,,0.00030555555555555555
wD_var,,0.07685797200900607
wD_var_qc,,1.0
wT/h2oT_cov,,-0.011159670725538912
wT/h2oT_cov_qc,,0.00030555555555555555
wT/h2o_cov,,0.0002853556423482714
wT/h2o_cov_qc,,0.00030555555555555555
wT_var,,6.150994309308244e-05
wT_var_qc,,1.0
w_nfb,,
w_var,,0.07645123143848179
w_var_qc,,1.0
wh2o,,0.06841377059280929
wh2o,10.0,1.9839370795602353e-06
wh2o,0.01953125,0.00636757906594694
wh2o,0.009765625,0.007151550585555492
wh2o,0.0048828125,0.004997561843241206
wh2o,0.00244140625,0.002753330798530651
wh2o,0.001220703125,0.0017648655118471734
wh2o,0.0006103515625,-0.0009461074963800758
wh2o,0.00030517578125,-0.00046422501225066416
wh2o,0.000152587890625,-5.769014995810873e-05
wh2o,7.62939453125e-05,2.7340624723039692e-06
wh2o,3.814697265625e-05,-0.0017879973964132468
wh2o,5.0,-1.6581604446144836e-06
wh2o,2.5,-2.3475399641885102e-06
wh2o,1.25,0.00022720241658860047
wh2o,0.625,0.0017379530961951519
wh2o,0.3125,0.0035489814305657897
wh2o,0.15625,0.00866996484109105
wh2o,0.078125,0.013201940992724202
wh2o,0.0390625,0.018940969270232356
wh2o_qc,,0.00030555555555555555
wh2o·,,0.0
wh2o·,10.0,0.0
wh2o·,0.01953125,0.0
wh2o·,0.009765625,0.0
wh2o·,0.0048828125,0.0
wh2o·,0.00244140625,0.0
wh2o·,0.001220703125,0.0
wh2o·,0.0006103515625,0.0
wh2o·,0.00030517578125,0.0
wh2o·,0.000152587890625,0.0
wh2o·,7.62939453125e-05,0.0
wh2o·,3.814697265625e-05,0.0
wh2o·,5.0,0.0
wh2o·,2.5,0.0
wh2o·,1.25,0.0
wh2o·,0.625,0.0
wh2o·,0.3125,0.0
wh2o·,0.15625,0.0
wh2o·,0.078125,0.0
wh2o·,0.0390625,0.0
